group_name,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,main_contract,last_trade_time
Hi5,US.VNQ,不动产信托指数ETF-Vanguard,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,202624,False,False,
Hi5,US.PFF,iShares优先股和收益证券ETF,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,203428,False,False,
Hi5,US.MOAT,VanEck Vectors晨星Wide Moat ETF,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,207375,False,False,
Hi5,US.RSP,平均加权指数ETF-Rydex S&P,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,202554,False,False,
Hi5,US.IWY,罗素领先200成长型ETF-iShares,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,207584,False,False,
叙事流,US.MRVL,迈威尔科技,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202382,False,False,
叙事流,US.COHR,Coherent,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,82643760915711,False,False,
叙事流,US.MXL,MaxLinear,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206275,False,False,
叙事流,US.NLR,铀与核能ETF-VanEck,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,202213,False,False,
叙事流,US.XOP,标普油气开采指数ETF-SPDR,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,201675,False,False,
叙事流,US.SOXX,半导体ETF-iShares,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,207605,False,False,
叙事流,US.SMH,半导体指数ETF-VanEck,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,202435,False,False,
叙事流,US.CIEN,Ciena,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205842,False,False,
叙事流,US.LITE,Lumentum,1,STOCK,N/A,,N/A,,N/A,N/A,2015-07-23,211269,False,False,
叙事流,US.POET,POET Technologies,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,81879256757608,False,False,
叙事流,US.SNDK,闪迪,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86509231477310,False,False,
叙事流,US.MU,美光科技,1,STOCK,N/A,,N/A,,N/A,N/A,2009-12-30,206117,False,False,
叙事流,US.BE,Bloom Energy,1,STOCK,N/A,,N/A,,N/A,N/A,2018-07-25,76111115667965,False,False,
叙事流,US.LWLG,Lightwave Logic,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513039,False,False,
叙事流,US.AEHR,Aehr Test Systems,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,201766,False,False,
叙事流,US.AAOI,Applied Optoelectronics,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,207706,False,False,
HALO,US.LMT,洛克希德马丁,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202103,False,False,
HALO,US.NEE,新纪元能源,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206658,False,False,
HALO,US.MCD,麦当劳,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202027,False,False,
HALO,US.UNP,联合太平洋,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202373,False,False,
HALO,US.CAT,卡特彼勒,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202194,False,False,
HALO,US.CVX,雪佛龙,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202468,False,False,
HALO,US.XOM,埃克森美孚,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,201721,False,False,
目标,US.SMR,NuScale Power,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,82094005122711,False,False,
目标,US..VXN,NASDAQ 100 Volatility,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045773,False,False,
目标,US.SOXL,三倍做多半导体ETF-Direxion,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,201418,False,False,
目标,US.SIDU,Sidus Space,1,STOCK,N/A,,N/A,,N/A,N/A,2021-12-14,81471234863581,False,False,
目标,US.COST,好市多,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205463,False,False,
目标,US.PDD,拼多多,1,STOCK,N/A,,N/A,,N/A,N/A,2018-07-26,76141180439059,False,False,
目标,HK.00700,腾讯控股,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-16,54047868453564,False,False,
目标,US.BABA,阿里巴巴,1,STOCK,N/A,,N/A,,N/A,N/A,2014-09-19,210182,False,False,
目标,US.QQQM,NASDAQ100指数ETF-Invesco,1,ETF,N/A,,N/A,,N/A,N/A,2020-10-13,79658758657839,False,False,
目标,US.MAGS,Roundhill Magnificent Seven ETF,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,84477711946167,False,False,
目标,US.NVDW,NVDA周配息ETF-Roundhill,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,86930138315714,False,False,
目标,US.FUTU,富途控股,1,STOCK,N/A,,N/A,,N/A,N/A,2019-03-08,78103980495165,False,False,
目标,US.COIN,Coinbase,1,STOCK,N/A,,N/A,,N/A,N/A,2021-04-14,80328773540970,False,False,
目标,US.MSTR,Strategy,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205577,False,False,
目标,US..RUT,罗素2000指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,84091164920137,False,False,
目标,US.BULZ,MICROSECTORS FANG & INNOVATION 3X LEVERAGED ETN,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,80981608590424,False,False,
目标,US.QQQ,纳指100ETF-Invesco QQQ Trust,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,203290,False,False,
目标,US.TQQQ,三倍做多纳指ETF-ProShares,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,202553,False,False,
Nasdaq关注,US.TLT,20+年以上美国国债ETF-iShares,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,205671,False,False,
Nasdaq关注,US.BULZ,MICROSECTORS FANG & INNOVATION 3X LEVERAGED ETN,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,80981608590424,False,False,
Nasdaq关注,US.MP,MP Materials,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,79813377480744,False,False,
Nasdaq关注,US.IREN,IREN Ltd,1,STOCK,N/A,,N/A,,N/A,N/A,2021-11-17,81355270746347,False,False,
Nasdaq关注,US.CRCL,Circle,1,STOCK,N/A,,N/A,,N/A,N/A,2025-06-05,86904368515489,False,False,
Nasdaq关注,US.IAUM,ISHARES GOLD TRUST MICRO,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,80766860225123,False,False,
Nasdaq关注,US.GLDM,SPDR Gold MiniShares Trust,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,76050986125795,False,False,
Nasdaq关注,US.IAU,黄金信托ETF-iShares,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,205150,False,False,
Nasdaq关注,US.IBIT,比特币ETF-iShares,1,ETF,N/A,,N/A,,N/A,N/A,2024-01-11,84748294912340,False,False,
Nasdaq关注,US..VIX,标普500波动率指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045671,False,False,
Nasdaq关注,US.VXUS,全世界股票ETF-Vanguard,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,206897,False,False,
Nasdaq关注,US.VTI,整体股市指数ETF-Vanguard,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,202861,False,False,
Nasdaq关注,US.PLTR,Palantir,1,STOCK,N/A,,N/A,,N/A,N/A,2020-09-30,79512729769513,False,False,
Nasdaq关注,US.QUBT,Quantum Computing,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511481,False,False,
Nasdaq关注,US.NFLX,奈飞,1,STOCK,N/A,,N/A,,N/A,N/A,2002-05-23,206114,False,False,
Nasdaq关注,US.TSLA,特斯拉,1,STOCK,N/A,,N/A,,N/A,N/A,2010-06-29,201335,False,False,
Nasdaq关注,US.AAPL,苹果,1,STOCK,N/A,,N/A,,N/A,N/A,1980-12-12,205189,False,False,
Nasdaq关注,US.META,Meta Platforms,1,STOCK,N/A,,N/A,,N/A,N/A,2012-05-18,82252918909550,False,False,
Nasdaq关注,US.QQQM,NASDAQ100指数ETF-Invesco,1,ETF,N/A,,N/A,,N/A,N/A,2020-10-13,79658758657839,False,False,
Nasdaq关注,US.QQQJ,INVESCO NASDAQ NEXT GEN 100 ETF,1,ETF,N/A,,N/A,,N/A,N/A,1970-01-01,79658758657840,False,False,
Nasdaq关注,US.TSM,台积电,1,STOCK,N/A,,N/A,,N/A,N/A,1997-10-08,202020,False,False,
Nasdaq关注,US.SHOP,Shopify,1,STOCK,N/A,,N/A,,N/A,N/A,2015-05-21,211011,False,False,
Nasdaq关注,US.FUTU,富途控股,1,STOCK,N/A,,N/A,,N/A,N/A,2019-03-08,78103980495165,False,False,
Nasdaq关注,US.AMD,美国超微公司,1,STOCK,N/A,,N/A,,N/A,N/A,1972-09-01,205816,False,False,
Nasdaq关注,US.NVDA,英伟达,1,STOCK,N/A,,N/A,,N/A,N/A,1999-01-22,202597,False,False,
Nasdaq关注,US.MSFT,微软,1,STOCK,N/A,,N/A,,N/A,N/A,1986-03-14,201345,False,False,
指数,US..VXN,NASDAQ 100 Volatility,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045773,False,False,
指数,US..RUT,罗素2000指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,84091164920137,False,False,
指数,US..VIX,标普500波动率指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045671,False,False,
指数,US..IXIC,纳斯达克综合指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,200002,False,False,
指数,US..SPX,标普500指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,200003,False,False,
指数,SH.000300,沪深300,100,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,1000300,False,False,
指数,SH.000063,上证周期,100,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,1000063,False,False,
指数,HK.800000,恒生指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800000,False,False,
指数,SH.000001,上证指数,100,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,1000001,False,False,
指数,US..DJI,道琼斯指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,200001,False,False,
美股期权,US.TQQQ260515P49000,TQQQ 260515 49.00P,100,DRVT,N/A,US.TQQQ,PUT,2026-05-15,49.0,False,N/A,503905824,False,False,
